sample_id,mse_pretrained,mse_finetuned,improvement_percent
121,0.06992354989051819,0.0700812116265297,-0.22547730522278542
122,0.04701191559433937,0.04717467352747917,-0.34620570355132774
123,0.08536306768655777,0.0840890109539032,1.4925151674701045
124,0.09663170576095581,0.097160205245018,-0.5469214062764342
125,0.06437505036592484,0.06323692947626114,1.7679533968154373
126,0.1059497743844986,0.10585197806358337,0.09230441639204434
127,0.09598202258348465,0.0978153795003891,-1.9101044836711003
128,0.15363505482673645,0.15255409479141235,0.7035894487336402
129,0.07831960916519165,0.07915932685136795,-1.0721678710046247
130,0.13988175988197327,0.13964146375656128,0.17178517457388431
131,0.16089360415935516,0.1602090299129486,0.4254825727716758
132,0.14603495597839355,0.14660052955150604,-0.38728643379896915
133,0.13019205629825592,0.13023196160793304,-0.030651109454327044
134,0.10643624514341354,0.10569348186254501,0.6978480684476825
135,0.0730215460062027,0.07286781817674637,0.2105239314450641
136,0.0928242951631546,0.09100832045078278,1.956357125212075
137,0.08396153897047043,0.08409441262483597,-0.15825538215859658
138,0.104276642203331,0.10289792716503143,1.3221705351788717
139,0.095517098903656,0.09584570676088333,-0.3440303997877257
140,0.04846905544400215,0.04777974635362625,1.4221632421908026
141,0.06462150067090988,0.0642896369099617,0.5135500684719287
142,0.07866322249174118,0.07871970534324646,-0.07180337865066691
143,0.04161738604307175,0.041757095605134964,-0.33569999306364007
144,0.09279249608516693,0.09192502498626709,0.9348504841321535
145,0.03984997794032097,0.04007495939731598,-0.5645710954377321
146,0.11835820972919464,0.11778976768255234,0.4802725961621967
147,0.15571516752243042,0.15579628944396973,-0.052096351838750866
148,0.08607077598571777,0.08529271185398102,0.9039817787361697
149,0.05119464546442032,0.05143506079912186,-0.46961031278930887
150,0.08476687967777252,0.08497262746095657,-0.24272190266262125
151,0.11095184832811356,0.11082655936479568,0.11292192532586724
152,0.06720350682735443,0.06710163503885269,0.15158701280564404
153,0.063200443983078,0.06296108663082123,0.3787273271641507
154,0.034942325204610825,0.03517105430364609,-0.6545903791157411
155,0.11689046025276184,0.11685881018638611,0.027076688984731614
156,0.0762380063533783,0.0749923586845398,1.6338932881433672
157,0.08464832603931427,0.08457117527723312,0.09114269081281386
158,0.08811268210411072,0.08807146549224854,0.04677716178587641
159,0.050012290477752686,0.05013120174407959,-0.23776408796438303
160,0.09319878369569778,0.09405392408370972,-0.9175445795460865
161,0.09199118614196777,0.09170122444629669,0.31520595377522215
162,0.13773685693740845,0.13824687898159027,-0.37028726770634046
163,0.12263814359903336,0.12246328592300415,0.14258017195651496
164,0.07915404438972473,0.0788334310054779,0.40504990833342136
165,0.1171685978770256,0.11748785525560379,-0.2724769130638041
